H,HN,NE,OW,PH,PW,St,st_1,W
Alta,si,si,desarmado,si,si,Atacar,Recoger_Armas,desarmado
Alta,si,no,desarmado,no,si,Recoger_Armas,Recoger_Armas,desarmado
Alta,no,no,armado,si,si,Explorar,Recoger_Armas,armado
Alta,si,si,desarmado,no,no,Recoger_Armas,Atacar,armado
Alta,no,si,desarmado,si,si,Explorar,Atacar,armado
Alta,no,si,armado,no,si,Atacar,Atacar,armado
Baja,si,no,desarmado,si,si,Recoger_Armas,Recoger_Energia,desarmado
Baja,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Baja,no,no,desarmado,si,si,Explorar,Explorar,desarmado
Alta,no,no,desarmado,si,si,Recoger_Energia,Atacar,desarmado
Baja,si,no,desarmado,no,no,Recoger_Energia,Detectar_Peligro,armado
Alta,no,si,armado,si,si,Atacar,Atacar,armado
Baja,si,si,armado,no,si,Detectar_Peligro,Atacar,armado
Alta,no,si,desarmado,si,si,Detectar_Peligro,Atacar,desarmado
Baja,si,no,armado,si,si,Huir,Recoger_Energia,desarmado
Baja,si,no,desarmado,si,no,Explorar,Explorar,armado
Baja,si,si,armado,si,si,Atacar,Atacar,armado
Baja,si,si,desarmado,no,si,Huir,Huir,desarmado
Baja,no,si,armado,no,no,Huir,Atacar,armado
Baja,si,si,desarmado,no,si,Huir,Huir,desarmado
Alta,si,si,desarmado,no,no,Recoger_Armas,Detectar_Peligro,armado
Alta,si,si,desarmado,no,si,Recoger_Energia,Atacar,armado
Alta,no,si,armado,no,si,Detectar_Peligro,Atacar,desarmado
Alta,no,si,armado,si,no,Explorar,Atacar,armado
Baja,no,no,desarmado,si,si,Atacar,Recoger_Armas,armado
Alta,si,si,desarmado,no,si,Atacar,Atacar,desarmado
Alta,si,si,armado,no,si,Recoger_Armas,Atacar,armado
Baja,si,si,desarmado,no,si,Explorar,Atacar,armado
Baja,si,no,desarmado,si,si,Recoger_Energia,Detectar_Peligro,armado
Alta,si,no,desarmado,si,si,Detectar_Peligro,Detectar_Peligro,armado
Alta,no,no,desarmado,no,si,Explorar,Recoger_Armas,desarmado
Alta,si,si,armado,no,si,Detectar_Peligro,Atacar,armado
Alta,no,si,desarmado,si,no,Recoger_Armas,Atacar,armado
Alta,si,no,desarmado,no,no,Explorar,Explorar,desarmado
Baja,no,si,armado,no,si,Huir,Recoger_Armas,desarmado
Baja,no,si,armado,no,no,Explorar,Atacar,desarmado
Baja,si,no,desarmado,si,si,Atacar,Recoger_Armas,desarmado
Alta,no,si,armado,no,no,Atacar,Atacar,armado
Baja,si,no,desarmado,si,si,Detectar_Peligro,Recoger_Armas,armado
Baja,si,no,desarmado,si,si,Recoger_Energia,Atacar,armado
Baja,si,no,armado,si,no,Atacar,Recoger_Energia,armado
Alta,si,no,armado,si,no,Recoger_Energia,Detectar_Peligro,armado
Alta,no,no,armado,si,si,Recoger_Armas,Atacar,armado
Alta,si,si,armado,si,si,Explorar,Atacar,armado
Alta,no,no,desarmado,no,no,Explorar,Explorar,armado
Alta,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Baja,si,si,armado,no,no,Detectar_Peligro,Atacar,armado
Alta,no,no,armado,si,no,Huir,Explorar,armado
Alta,si,no,desarmado,no,no,Explorar,Detectar_Peligro,armado
Alta,si,no,desarmado,no,si,Atacar,Recoger_Armas,desarmado
Alta,si,si,desarmado,no,si,Atacar,Atacar,armado
Alta,si,si,armado,si,no,Detectar_Peligro,Atacar,armado
Baja,no,no,desarmado,no,no,Explorar,Explorar,desarmado
Alta,si,si,armado,no,no,Atacar,Atacar,armado
Alta,si,no,armado,no,si,Detectar_Peligro,Explorar,armado
Alta,si,si,armado,no,no,Atacar,Atacar,armado
Alta,si,no,desarmado,si,si,Recoger_Armas,Detectar_Peligro,armado
Baja,si,no,desarmado,si,si,Detectar_Peligro,Explorar,desarmado
Alta,si,si,desarmado,no,si,Atacar,Atacar,armado
Alta,si,si,desarmado,si,no,Detectar_Peligro,Atacar,armado
Baja,si,si,armado,no,no,Explorar,Atacar,armado
Baja,si,si,desarmado,si,si,Explorar,Explorar,desarmado
Baja,no,no,desarmado,si,no,Huir,Recoger_Energia,armado
Alta,si,si,armado,no,no,Recoger_Armas,Atacar,armado
Alta,no,si,armado,no,no,Recoger_Armas,Atacar,armado
Alta,si,si,desarmado,no,si,Recoger_Armas,Atacar,armado
Baja,si,no,desarmado,no,si,Recoger_Armas,Recoger_Armas,armado
Baja,no,no,desarmado,no,si,Recoger_Energia,Detectar_Peligro,armado
Baja,si,si,desarmado,si,si,Atacar,Recoger_Energia,desarmado
Alta,si,si,desarmado,si,si,Explorar,Atacar,armado
Alta,no,si,desarmado,no,si,Explorar,Atacar,armado
Alta,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Baja,si,no,armado,si,si,Detectar_Peligro,Explorar,desarmado
Alta,si,no,armado,si,si,Recoger_Energia,Recoger_Armas,armado
Baja,no,no,armado,si,si,Huir,Detectar_Peligro,armado
Alta,no,si,desarmado,si,si,Atacar,Atacar,desarmado
Baja,si,no,desarmado,si,no,Atacar,Recoger_Energia,armado
Alta,si,no,desarmado,si,si,Explorar,Recoger_Armas,desarmado
Alta,no,si,desarmado,no,no,Huir,Atacar,armado
Baja,si,si,desarmado,si,si,Detectar_Peligro,Atacar,armado
Baja,no,si,desarmado,no,si,Atacar,Atacar,armado
Baja,si,no,desarmado,no,no,Huir,Atacar,armado
Alta,si,no,desarmado,no,si,Recoger_Armas,Explorar,desarmado
Alta,si,si,desarmado,si,no,Explorar,Atacar,armado
Alta,si,si,armado,no,no,Atacar,Atacar,armado
Alta,si,no,desarmado,si,si,Atacar,Recoger_Armas,desarmado
Baja,no,si,armado,no,si,Detectar_Peligro,Explorar,desarmado
Baja,si,no,desarmado,si,si,Atacar,Recoger_Energia,desarmado
Baja,si,no,desarmado,si,no,Recoger_Armas,Detectar_Peligro,armado
Alta,no,si,armado,si,si,Huir,Atacar,armado
Alta,si,si,desarmado,si,si,Explorar,Atacar,armado
Baja,no,no,desarmado,si,si,Explorar,Recoger_Armas,desarmado
Alta,no,si,armado,no,no,Recoger_Energia,Atacar,armado
Baja,no,no,armado,si,si,Atacar,Recoger_Armas,armado
Alta,si,no,desarmado,no,no,Recoger_Armas,Explorar,armado
Baja,si,si,desarmado,no,si,Huir,Huir,desarmado
Alta,si,si,armado,no,no,Recoger_Armas,Atacar,desarmado
Baja,si,si,armado,no,si,Explorar,Atacar,armado
Baja,si,no,desarmado,no,si,Recoger_Energia,Recoger_Armas,desarmado
Baja,no,si,desarmado,no,no,Detectar_Peligro,Atacar,armado
Alta,si,no,armado,no,no,Huir,Explorar,desarmado
Baja,si,no,desarmado,si,si,Detectar_Peligro,Recoger_Energia,armado
Alta,si,no,desarmado,si,si,Recoger_Energia,Detectar_Peligro,armado
Alta,si,si,armado,no,si,Atacar,Atacar,desarmado
Baja,si,si,desarmado,si,si,Recoger_Armas,Explorar,desarmado
Alta,no,si,armado,no,si,Explorar,Atacar,armado
Alta,si,no,desarmado,si,si,Huir,Detectar_Peligro,armado
Alta,si,si,armado,no,no,Recoger_Armas,Atacar,armado
Alta,si,no,desarmado,no,si,Explorar,Recoger_Armas,desarmado
Baja,si,si,armado,no,si,Explorar,Atacar,armado
Baja,si,si,desarmado,si,no,Explorar,Detectar_Peligro,armado
Alta,si,si,desarmado,no,no,Huir,Atacar,armado
Baja,si,no,desarmado,no,si,Huir,Explorar,desarmado
Alta,no,no,desarmado,no,no,Detectar_Peligro,Atacar,armado
Alta,no,no,desarmado,no,si,Recoger_Energia,Recoger_Armas,armado
Alta,no,si,armado,si,si,Explorar,Atacar,armado
Alta,si,no,desarmado,no,si,Detectar_Peligro,Recoger_Armas,armado
Alta,si,si,armado,si,no,Huir,Atacar,armado
Baja,si,no,desarmado,no,no,Recoger_Energia,Explorar,desarmado
Baja,no,no,desarmado,si,no,Huir,Recoger_Energia,desarmado
Baja,no,no,desarmado,no,no,Recoger_Armas,Explorar,desarmado
Alta,si,no,desarmado,no,si,Recoger_Armas,Detectar_Peligro,desarmado
Alta,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Alta,si,no,desarmado,si,si,Recoger_Armas,Explorar,desarmado
Baja,si,no,desarmado,no,no,Huir,Atacar,armado
Baja,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Baja,si,no,desarmado,si,si,Atacar,Recoger_Energia,armado
Baja,si,si,armado,si,no,Recoger_Energia,Detectar_Peligro,armado
Baja,si,si,armado,no,si,Huir,Huir,desarmado
Baja,si,no,desarmado,si,no,Huir,Explorar,desarmado
Alta,no,si,desarmado,si,no,Recoger_Energia,Atacar,armado
Baja,no,no,armado,si,si,Recoger_Armas,Recoger_Energia,desarmado
Alta,no,si,armado,si,no,Recoger_Armas,Atacar,armado
Alta,no,si,desarmado,si,si,Atacar,Atacar,desarmado
Alta,si,no,desarmado,no,no,Detectar_Peligro,Atacar,armado
Alta,no,si,armado,si,no,Detectar_Peligro,Atacar,armado
Baja,si,si,armado,si,no,Atacar,Atacar,armado
Baja,si,no,desarmado,no,no,Huir,Detectar_Peligro,armado
Alta,no,si,armado,si,si,Recoger_Armas,Atacar,armado
Alta,si,si,desarmado,si,no,Explorar,Atacar,desarmado
Alta,si,no,desarmado,no,no,Detectar_Peligro,Explorar,desarmado
Alta,no,no,desarmado,si,no,Atacar,Atacar,armado
Alta,no,no,desarmado,si,si,Atacar,Recoger_Armas,desarmado
Alta,si,si,armado,si,si,Huir,Atacar,armado
Baja,si,no,armado,si,no,Atacar,Recoger_Energia,desarmado
Baja,no,no,desarmado,si,si,Huir,Recoger_Energia,desarmado
Alta,si,si,desarmado,si,si,Recoger_Energia,Atacar,armado
Alta,si,no,desarmado,si,si,Recoger_Energia,Explorar,armado
Alta,si,si,desarmado,si,no,Detectar_Peligro,Atacar,armado
Baja,si,no,desarmado,si,no,Recoger_Armas,Atacar,armado
Alta,no,si,desarmado,si,no,Recoger_Armas,Atacar,armado
Alta,no,si,desarmado,no,si,Detectar_Peligro,Atacar,armado
Alta,si,si,armado,si,no,Recoger_Armas,Atacar,armado
Baja,no,si,desarmado,si,no,Atacar,Atacar,armado
Alta,si,no,desarmado,no,no,Huir,Explorar,desarmado
Baja,si,no,desarmado,si,si,Explorar,Explorar,desarmado
Alta,si,si,armado,no,si,Explorar,Atacar,armado
